title,price,phoneContact,companyName,location,imageLink
New Built Elegant 5 Bedrooms Detached House With Swimming Pool,"₦140,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Lekki Palm City, Behind Our Lady Catholic Church, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1593184/063c552ce693fe-new-built-elegant-5-bedroom-detached-house-with-swimming-pool-detached-duplexes-for-sale-ajah-lagos.jpg
"New Built, Massive 5 Bedroom Detached Edifice (private)","₦500,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Victory Park Estate, Castle Rock Avenue, Osapa, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1629472/063ea5c3dc7cf6-new-built-massive-5-bedroom-detached-edifice-private-detached-duplexes-for-sale-osapa-lekki-lagos.jpg
"Ongoing Construction Of Elegant, Private 5 Bedrooms Detached House","₦350,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Off Kusenla Road, Ikate Elegushi, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1965717/065325994ef856-ongoing-construction-of-elegant-private-5-bedroom-detached-house-with-detached-duplexes-for-sale-ikate-elegushi-lekki-lagos.jpg
Expressively Finished Ample 5 Bedrooms Detached Home,"₦590,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Shortly Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1965761/0653261e08f33f-expressively-finished-ample-5-bedroom-detached-home-with-swimming-poo-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg
Massive 4 Bedrooms Terraced Duplex Within A New Residential Court,"₦170,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Shortly After Blenco Mall, Ikate Elegushi, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1967158/0653399dc67535-massive-4-bedroom-terrace-duplex-within-a-new-residential-court-terraced-duplexes-for-sale-ikate-elegushi-lekki-lagos.jpg
New Built Massive 5 Bedrooms Detached Home,"₦190,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Off Lekki-epe Expressway, Osapa, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1967194/065339fddf41e9-new-built-massive-5-bedroom-detached-home-detached-duplexes-for-sale-osapa-lekki-lagos.jpg
Massive 4 Bedrooms Terraced Triplex Within A New Residential Court,"₦300,000,000",+2348188040221,First Colony Real Estate Company Ltd,"Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1967264/06533af5831ce3-massive-4-bedroom-terrace-triplex-within-a-new-residential-court-terraced-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg
Brand New Spacious 4 Bedroom Semi Detached Duplex With Room Bq,"₦120,000,000",09063665415,Lobia Properties,"Orchid, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2242605/0663a2046b650b-brand-new-spacious-4-bedroom-semi-detached-duplex-with-room-bq-semi-detached-duplexes-for-sale-lekki-lagos.jpeg
"Block Of Flats, Units Of 3 Bedroom Flats & 1 Penthouse","₦800,000,000",07067253106,Full Sky Properties,"Opebi Ikeja, Opebi, Ikeja, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299010/066670d016141c-block-of-flats-units-of-3-bedroom-flats-1-penthouse-block-of-flats-for-sale-opebi-ikeja-lagos.jpg
Luxury Built 6 Bedroom Royal Duplex With 2 Rooms Bq Available,"₦450,000,000",08034480045,Houselink Ltd,"Efab Metropolis Estate Abuja, Gwarinpa, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2235128/06633f0e440c62-luxury-built-6-bedroom-royal-duplex-with-2-rooms-bq-available-detached-duplexes-for-sale-gwarinpa-abuja.jpg
